Brief                              , Forward Function           , Inverse Function
6-point DCT                        , :c:func:`dct6_forward()`   , :c:func:`dct6_inverse()`
8-point DCT                        , :c:func:`dct8_forward()`   , :c:func:`dct8_inverse()`
12-point DCT                       , :c:func:`dct12_forward()`  , :c:func:`dct12_inverse()`
16-point DCT                       , :c:func:`dct16_forward()`  , :c:func:`dct16_inverse()`
24-point DCT                       , :c:func:`dct24_forward()`  , :c:func:`dct24_inverse()`
32-point DCT                       , :c:func:`dct32_forward()`  , :c:func:`dct32_inverse()`
48-point DCT                       , :c:func:`dct48_forward()`  , :c:func:`dct48_inverse()`
64-point DCT                       , :c:func:`dct64_forward()`  , :c:func:`dct64_inverse()`
8-by-8 2-dimensional DCT           , :c:func:`dct8x8_forward()` , :c:func:`dct8x8_inverse()`
